order_id,date,customer_id,product_category,amount,payment_method,status,country
ORD-10052,2023-04-28,CUST-3042,Sports,101.96,Debit Card,refunded,Netherlands
ORD-10053,2024-11-17,CUST-2989,Electronics,328.98,Credit Card,processing,Germany
ORD-10054,2023-09-09,CUST-4060,Electronics,266.1,Google Pay,completed,Canada
ORD-10055,2023-01-02,CUST-3923,Books,13.98,Apple Pay,completed,France
ORD-10056,2024-05-14,CUST-4121,Beauty,119.71,Bank Transfer,shipped,Sweden
ORD-10057,2023-08-31,CUST-2125,Books,59.98,Google Pay,refunded,France
ORD-10058,2024-06-23,CUST-3487,Clothing,94.13,Bank Transfer,completed,UK
ORD-10059,2023-09-29,CUST-2022,Toys,137.33,Debit Card,completed,USA
ORD-10060,2024-04-13,CUST-2786,Electronics,507.29,Apple Pay,completed,Australia
ORD-10061,2023-08-14,CUST-2917,Books,48.67,Bank Transfer,refunded,France
ORD-10062,2023-07-24,CUST-3108,Clothing,63.32,Credit Card,cancelled,Netherlands
ORD-10063,2024-07-20,CUST-2273,Sports,179.13,PayPal,completed,Sweden
ORD-10064,2023-12-27,CUST-4868,Home & Garden,67.56,PayPal,completed,Sweden
ORD-10065,2023-01-16,CUST-1083,Toys,95.49,Bank Transfer,refunded,Netherlands
ORD-10066,2024-03-29,CUST-1723,Sports,274.59,Google Pay,refunded,Canada
ORD-10067,2023-02-24,CUST-3271,Home & Garden,333.28,Debit Card,completed,France
ORD-10068,2023-04-03,CUST-4270,Sports,28.13,Google Pay,cancelled,Netherlands
ORD-10069,2024-03-16,CUST-4520,Clothing,75.31,Apple Pay,processing,Sweden
ORD-10070,2023-10-11,CUST-1906,Beauty,106.13,PayPal,completed,Germany
ORD-10071,2023-10-20,CUST-4335,Sports,264.91,Google Pay,completed,UK
ORD-10072,2024-09-20,CUST-4542,Home & Garden,384.59,Apple Pay,completed,Australia
ORD-10073,2023-05-17,CUST-2021,Beauty,40.44,Bank Transfer,completed,France
ORD-10074,2024-10-14,CUST-1228,Beauty,93.72,Credit Card,processing,Australia
ORD-10075,2024-07-11,CUST-2497,Sports,209.23,Debit Card,completed,Canada
ORD-10076,2024-08-10,CUST-4209,Books,21.29,Credit Card,shipped,USA
ORD-10077,2024-11-04,CUST-4971,Electronics,510.84,Debit Card,processing,Germany
ORD-10078,2023-12-07,CUST-4563,Books,34.77,Debit Card,completed,Sweden
ORD-10079,2023-10-27,CUST-4643,Electronics,431.44,Bank Transfer,cancelled,Netherlands
ORD-10080,2024-09-29,CUST-4238,Clothing,69.06,PayPal,completed,Sweden
ORD-10081,2024-07-16,CUST-1001,Clothing,114.28,Debit Card,completed,Australia
ORD-10082,2024-04-24,CUST-1457,Electronics,760.47,Google Pay,completed,Canada
ORD-10083,2023-12-05,CUST-3264,Beauty,52.88,Debit Card,refunded,UK
ORD-10084,2024-02-29,CUST-4084,Beauty,114.97,Bank Transfer,completed,Canada
ORD-10085,2024-06-26,CUST-2628,Toys,143.04,PayPal,completed,UK
ORD-10086,2023-09-15,CUST-2703,Electronics,168.28,Google Pay,refunded,Netherlands
ORD-10087,2023-12-31,CUST-1677,Clothing,130.69,Debit Card,cancelled,Germany
ORD-10088,2024-05-03,CUST-2830,Books,26.16,Google Pay,cancelled,Canada
ORD-10089,2023-05-09,CUST-2291,Home & Garden,158.5,Credit Card,completed,Netherlands
ORD-10090,2023-02-21,CUST-2174,Clothing,122.82,Debit Card,completed,UK
ORD-10091,2024-04-11,CUST-3815,Clothing,97.47,Apple Pay,refunded,USA
ORD-10092,2024-07-03,CUST-4170,Clothing,34.5,Apple Pay,refunded,UK
ORD-10093,2024-01-12,CUST-4352,Toys,56.21,PayPal,processing,Sweden
ORD-10094,2023-03-01,CUST-1454,Beauty,69.87,Google Pay,cancelled,UK
ORD-10095,2024-03-31,CUST-2452,Toys,145.41,PayPal,cancelled,Canada
ORD-10096,2023-07-22,CUST-4018,Toys,170.44,Apple Pay,completed,France
ORD-10097,2023-12-19,CUST-1721,Home & Garden,273.53,Google Pay,completed,Netherlands
ORD-10098,2024-10-23,CUST-2366,Electronics,562.18,Debit Card,completed,Canada
ORD-10099,2023-11-08,CUST-3918,Electronics,671.96,Debit Card,cancelled,France
ORD-10100,2024-08-26,CUST-2737,Home & Garden,215.38,Credit Card,shipped,Netherlands
ORD-10101,2023-03-14,CUST-3274,Toys,112.58,Credit Card,completed,Australia
ORD-10102,2024-05-14,CUST-4244,Clothing,63.9,Google Pay,refunded,Australia
ORD-10103,2024-04-20,CUST-4393,Toys,39.38,Debit Card,refunded,Australia
ORD-10104,2023-10-19,CUST-3881,Toys,148.36,Credit Card,shipped,France
ORD-10105,2024-09-27,CUST-3377,Books,21.49,PayPal,processing,Canada
ORD-10106,2024-04-28,CUST-3434,Beauty,37.3,Bank Transfer,completed,France
ORD-10107,2023-08-07,CUST-1200,Beauty,95.32,Apple Pay,shipped,Germany
ORD-10108,2023-08-15,CUST-2640,Clothing,51.15,Google Pay,shipped,USA
ORD-10109,2023-04-13,CUST-3870,Clothing,67.57,PayPal,refunded,France
ORD-10110,2023-03-13,CUST-3287,Clothing,60.44,Google Pay,completed,Netherlands
ORD-10111,2024-04-02,CUST-1557,Electronics,235.23,Google Pay,completed,Germany
ORD-10112,2023-12-25,CUST-2130,Clothing,85.86,PayPal,refunded,France
ORD-10113,2023-01-26,CUST-3602,Electronics,775.49,Debit Card,completed,Netherlands
ORD-10114,2024-06-08,CUST-3367,Clothing,145.61,Credit Card,refunded,USA
ORD-10115,2023-06-08,CUST-1668,Books,12.36,Apple Pay,shipped,UK
ORD-10116,2024-03-15,CUST-1400,Clothing,72.26,Google Pay,completed,Australia
ORD-10117,2024-10-07,CUST-2499,Sports,242.85,PayPal,shipped,UK
ORD-10118,2023-03-16,CUST-1122,Home & Garden,249.4,Google Pay,completed,Germany
ORD-10119,2024-08-30,CUST-4895,Beauty,51.28,Google Pay,shipped,Germany
ORD-10120,2024-07-07,CUST-3105,Beauty,80.28,Credit Card,shipped,Germany
ORD-10121,2023-05-04,CUST-3458,Toys,113.21,PayPal,completed,Sweden
ORD-10122,2024-02-24,CUST-2656,Beauty,56.27,PayPal,completed,France
ORD-10123,2023-03-02,CUST-1506,Clothing,123.46,Bank Transfer,processing,UK
ORD-10124,2024-04-17,CUST-4670,Clothing,41.38,PayPal,processing,Germany
ORD-10125,2024-08-24,CUST-1619,Beauty,119.37,Bank Transfer,shipped,Netherlands
ORD-10126,2024-03-06,CUST-1021,Books,51.73,Google Pay,completed,Germany
ORD-10127,2024-01-06,CUST-4833,Home & Garden,304.96,Debit Card,cancelled,Australia
ORD-10128,2024-05-08,CUST-2022,Sports,238.23,PayPal,completed,USA
ORD-10129,2023-05-01,CUST-3456,Electronics,601.0,Apple Pay,completed,Australia
ORD-10130,2024-03-18,CUST-2952,Clothing,59.24,Credit Card,refunded,France
ORD-10131,2024-09-12,CUST-4728,Clothing,93.03,Debit Card,refunded,France
ORD-10132,2024-07-24,CUST-2369,Electronics,213.07,Google Pay,processing,France
ORD-10133,2023-04-25,CUST-3704,Clothing,34.65,Bank Transfer,completed,UK
ORD-10134,2024-04-06,CUST-3345,Clothing,88.25,Debit Card,shipped,Canada
ORD-10135,2024-07-08,CUST-4888,Beauty,101.37,Debit Card,processing,France
ORD-10136,2024-06-12,CUST-2320,Clothing,81.08,Apple Pay,completed,USA
ORD-10137,2023-02-07,CUST-4933,Home & Garden,337.24,PayPal,completed,UK
ORD-10138,2023-07-14,CUST-1365,Toys,145.8,Apple Pay,completed,Australia
ORD-10139,2024-03-07,CUST-4113,Home & Garden,398.91,Apple Pay,completed,Canada
ORD-10140,2023-07-21,CUST-4261,Toys,187.9,Credit Card,completed,USA
ORD-10141,2024-08-20,CUST-4845,Clothing,38.82,PayPal,completed,Australia
ORD-10142,2023-11-23,CUST-4705,Books,9.65,Debit Card,cancelled,UK
ORD-10143,2024-10-03,CUST-3713,Beauty,104.26,Credit Card,shipped,UK
ORD-10144,2024-03-27,CUST-2592,Beauty,104.96,Apple Pay,completed,Australia
ORD-10145,2024-03-21,CUST-3678,Sports,204.33,Apple Pay,processing,Netherlands
ORD-10146,2024-10-10,CUST-3365,Toys,37.98,Google Pay,refunded,France
ORD-10147,2023-11-04,CUST-4902,Home & Garden,284.18,Bank Transfer,completed,UK
ORD-10148,2024-06-16,CUST-4430,Home & Garden,154.8,Google Pay,completed,UK
ORD-10149,2023-01-12,CUST-1576,Electronics,573.48,PayPal,completed,Australia
ORD-10150,2023-06-11,CUST-1856,Books,47.09,Credit Card,completed,France
ORD-10151,2024-06-21,CUST-3471,Books,55.01,Google Pay,completed,Germany
ORD-10152,2024-04-07,CUST-4513,Sports,119.31,Bank Transfer,shipped,USA
ORD-10153,2023-04-29,CUST-1996,Books,9.52,Bank Transfer,completed,UK
ORD-10154,2023-10-29,CUST-3133,Toys,12.55,Apple Pay,completed,USA
ORD-10155,2023-04-25,CUST-2980,Home & Garden,156.2,Apple Pay,cancelled,Sweden
ORD-10156,2024-12-19,CUST-2311,Sports,264.14,Debit Card,processing,Germany
ORD-10157,2024-06-03,CUST-4015,Books,42.65,Bank Transfer,processing,UK
ORD-10158,2024-08-22,CUST-2756,Home & Garden,241.79,Apple Pay,cancelled,Germany
ORD-10159,2024-11-27,CUST-3423,Electronics,300.31,Google Pay,completed,Sweden
ORD-10160,2024-03-01,CUST-4241,Beauty,26.54,Apple Pay,completed,UK
ORD-10161,2023-10-22,CUST-1380,Beauty,19.12,Credit Card,completed,UK
ORD-10162,2024-09-16,CUST-4658,Beauty,45.79,PayPal,cancelled,Netherlands
ORD-10163,2023-09-18,CUST-1308,Clothing,101.23,Apple Pay,refunded,USA
ORD-10164,2023-03-08,CUST-3566,Electronics,230.53,Credit Card,cancelled,Australia
ORD-10165,2024-11-19,CUST-4899,Clothing,50.13,PayPal,refunded,UK
ORD-10166,2023-05-12,CUST-2688,Electronics,488.75,Apple Pay,cancelled,France
ORD-10167,2023-11-23,CUST-3696,Clothing,71.64,PayPal,cancelled,France
ORD-10168,2023-10-25,CUST-1763,Clothing,75.79,Bank Transfer,shipped,UK
ORD-10169,2023-09-29,CUST-2812,Home & Garden,283.44,PayPal,cancelled,Netherlands
ORD-10170,2023-10-20,CUST-4770,Sports,288.09,Bank Transfer,completed,UK
ORD-10171,2023-03-05,CUST-4853,Home & Garden,201.12,Google Pay,completed,France
ORD-10172,2023-11-09,CUST-1842,Toys,112.19,Bank Transfer,completed,France
ORD-10173,2024-10-12,CUST-2326,Beauty,65.77,Credit Card,completed,UK
ORD-10174,2024-04-14,CUST-3385,Home & Garden,298.87,Apple Pay,shipped,Canada
ORD-10175,2024-08-02,CUST-3368,Home & Garden,146.96,Google Pay,shipped,Germany
ORD-10176,2024-06-20,CUST-4981,Toys,77.88,Google Pay,completed,Sweden
ORD-10177,2023-06-10,CUST-4950,Home & Garden,119.41,Google Pay,completed,Canada
ORD-10178,2024-08-19,CUST-1939,Sports,246.74,Debit Card,completed,Germany
ORD-10179,2024-05-27,CUST-2254,Home & Garden,37.17,Google Pay,completed,Germany
ORD-10180,2024-03-02,CUST-2557,Books,58.81,Debit Card,processing,UK
ORD-10181,2023-12-23,CUST-1140,Clothing,67.19,Google Pay,shipped,Canada
ORD-10182,2023-03-25,CUST-3090,Books,40.5,Credit Card,completed,Netherlands
ORD-10183,2023-02-08,CUST-2062,Books,47.41,Credit Card,completed,Netherlands
ORD-10184,2024-05-28,CUST-3698,Electronics,723.22,Apple Pay,shipped,UK
ORD-10185,2023-08-16,CUST-4858,Electronics,387.72,Credit Card,completed,UK
ORD-10186,2023-10-05,CUST-1475,Toys,43.84,PayPal,completed,Germany
ORD-10187,2024-07-02,CUST-3856,Electronics,404.09,PayPal,refunded,France
ORD-10188,2023-12-17,CUST-3172,Beauty,119.51,Debit Card,completed,Germany
ORD-10189,2024-02-13,CUST-4076,Electronics,277.69,Google Pay,completed,Australia
ORD-10190,2023-12-08,CUST-4918,Electronics,308.47,PayPal,completed,Netherlands
ORD-10191,2024-06-09,CUST-4037,Home & Garden,165.8,Google Pay,completed,Sweden
ORD-10192,2024-08-26,CUST-3906,Beauty,64.61,Debit Card,shipped,Australia
ORD-10193,2023-12-10,CUST-2909,Clothing,68.28,Debit Card,completed,USA
ORD-10194,2024-04-04,CUST-3089,Beauty,117.51,Debit Card,refunded,Germany
ORD-10195,2024-07-07,CUST-1718,Toys,175.58,PayPal,cancelled,Netherlands
ORD-10196,2023-11-05,CUST-1052,Beauty,34.97,Apple Pay,completed,Australia
ORD-10197,2024-07-24,CUST-4524,Books,55.75,PayPal,refunded,France
ORD-10198,2023-01-27,CUST-2337,Electronics,235.43,Credit Card,processing,Australia
ORD-10199,2024-01-24,CUST-3847,Clothing,123.86,PayPal,shipped,USA
ORD-10200,2024-05-31,CUST-1410,Electronics,471.64,Google Pay,completed,France
ORD-10201,2023-12-27,CUST-1707,Toys,121.07,Debit Card,completed,Australia
ORD-10202,2024-02-18,CUST-4027,Beauty,45.99,Bank Transfer,completed,France
ORD-10203,2024-05-28,CUST-4482,Electronics,149.92,Bank Transfer,completed,Netherlands
ORD-10204,2024-06-16,CUST-1765,Clothing,22.65,Bank Transfer,completed,USA
ORD-10205,2023-04-24,CUST-4861,Clothing,88.91,Bank Transfer,completed,Sweden
ORD-10206,2024-05-26,CUST-4224,Sports,246.85,Apple Pay,cancelled,Netherlands
ORD-10207,2023-05-02,CUST-3658,Home & Garden,329.29,Google Pay,refunded,Netherlands
ORD-10208,2023-10-13,CUST-2520,Home & Garden,150.16,Credit Card,completed,Australia
ORD-10209,2023-09-10,CUST-4175,Clothing,65.46,Credit Card,completed,UK
ORD-10210,2024-05-06,CUST-2163,Electronics,608.55,Debit Card,shipped,Australia
ORD-10211,2023-01-17,CUST-2196,Books,49.44,PayPal,processing,UK
ORD-10212,2024-10-18,CUST-4857,Books,18.47,Bank Transfer,completed,France
ORD-10213,2023-10-21,CUST-1858,Sports,124.32,PayPal,completed,Canada
ORD-10214,2024-07-01,CUST-1056,Home & Garden,69.66,Bank Transfer,refunded,USA
ORD-10215,2023-07-19,CUST-2263,Books,42.45,Google Pay,processing,France
ORD-10216,2023-03-02,CUST-4105,Clothing,103.74,PayPal,shipped,Canada
ORD-10217,2023-01-12,CUST-3604,Home & Garden,322.37,Debit Card,shipped,Netherlands
ORD-10218,2024-01-21,CUST-2289,Electronics,515.16,Debit Card,completed,Sweden
ORD-10219,2024-07-31,CUST-4475,Clothing,35.25,Apple Pay,refunded,UK
ORD-10220,2023-03-16,CUST-3594,Sports,151.97,Debit Card,completed,USA
ORD-10221,2023-11-26,CUST-2850,Clothing,83.78,Apple Pay,cancelled,UK
ORD-10222,2023-10-04,CUST-2686,Home & Garden,300.66,Google Pay,completed,Australia
ORD-10223,2024-08-25,CUST-2315,Toys,56.05,Bank Transfer,processing,USA
ORD-10224,2023-11-18,CUST-3066,Electronics,650.97,Credit Card,cancelled,Germany
ORD-10225,2024-04-25,CUST-4350,Beauty,38.58,Bank Transfer,completed,Sweden
ORD-10226,2024-09-29,CUST-2532,Clothing,52.71,Bank Transfer,processing,Sweden
ORD-10227,2024-08-03,CUST-1027,Sports,110.66,Bank Transfer,refunded,USA
ORD-10228,2024-12-28,CUST-2071,Clothing,133.44,Bank Transfer,completed,Germany
ORD-10229,2024-07-26,CUST-1906,Clothing,149.79,Bank Transfer,shipped,Canada
ORD-10230,2024-12-16,CUST-1342,Clothing,20.16,Google Pay,shipped,France
ORD-10231,2024-03-16,CUST-4117,Toys,55.9,Google Pay,completed,USA
ORD-10232,2024-09-15,CUST-1698,Home & Garden,379.84,Credit Card,refunded,USA
ORD-10233,2023-07-14,CUST-4630,Beauty,47.51,PayPal,processing,Netherlands
ORD-10234,2024-12-17,CUST-2801,Toys,45.53,Debit Card,cancelled,Sweden
ORD-10235,2023-08-02,CUST-3651,Toys,198.91,PayPal,completed,Australia
ORD-10236,2024-11-17,CUST-1311,Beauty,15.84,PayPal,refunded,USA
ORD-10237,2024-07-08,CUST-1102,Toys,135.29,Debit Card,processing,Australia
ORD-10238,2024-03-16,CUST-2394,Books,58.65,PayPal,refunded,Netherlands
ORD-10239,2024-07-30,CUST-4631,Beauty,29.48,Debit Card,completed,France
ORD-10240,2023-08-03,CUST-4910,Sports,270.36,Credit Card,shipped,Netherlands
ORD-10241,2023-10-06,CUST-2729,Beauty,82.78,Debit Card,processing,France
ORD-10242,2023-06-01,CUST-3295,Sports,180.99,Credit Card,processing,Canada
ORD-10243,2023-12-21,CUST-1682,Toys,177.0,Credit Card,refunded,France
ORD-10244,2024-10-30,CUST-1308,Clothing,131.52,PayPal,refunded,USA
ORD-10245,2023-02-12,CUST-1103,Clothing,116.68,Google Pay,cancelled,Germany
ORD-10246,2023-11-07,CUST-4527,Home & Garden,367.52,Debit Card,completed,Netherlands
ORD-10247,2023-12-05,CUST-3495,Home & Garden,79.92,Apple Pay,completed,France
ORD-10248,2024-02-26,CUST-2885,Home & Garden,142.92,PayPal,completed,Canada
ORD-10249,2023-05-04,CUST-4995,Books,9.94,Apple Pay,shipped,France
ORD-10250,2024-02-10,CUST-3351,Beauty,45.33,Apple Pay,refunded,Australia
ORD-10251,2023-08-04,CUST-2088,Beauty,24.69,Bank Transfer,completed,Australia
ORD-10252,2023-01-14,CUST-1597,Books,47.35,PayPal,refunded,USA
ORD-10253,2023-11-03,CUST-3337,Books,27.62,Apple Pay,processing,Canada
ORD-10254,2023-03-13,CUST-3977,Toys,55.43,Apple Pay,completed,UK
ORD-10255,2024-08-27,CUST-3226,Toys,125.18,Bank Transfer,shipped,Australia
ORD-10256,2023-04-16,CUST-1507,Toys,186.68,Apple Pay,processing,Australia
ORD-10257,2023-06-09,CUST-2339,Home & Garden,65.68,PayPal,refunded,UK
ORD-10258,2024-07-08,CUST-1768,Electronics,508.29,PayPal,refunded,Germany
ORD-10259,2023-12-03,CUST-3869,Toys,94.67,Apple Pay,completed,Germany
ORD-10260,2024-12-24,CUST-1623,Beauty,90.17,Apple Pay,completed,Australia
ORD-10261,2023-04-09,CUST-4067,Electronics,454.4,PayPal,completed,USA
ORD-10262,2024-03-10,CUST-2405,Electronics,594.46,Bank Transfer,shipped,Netherlands
ORD-10263,2024-01-27,CUST-1839,Clothing,31.64,Bank Transfer,completed,Sweden
ORD-10264,2023-10-30,CUST-2640,Home & Garden,376.9,Google Pay,completed,Canada
ORD-10265,2023-05-14,CUST-1932,Beauty,35.8,Google Pay,refunded,Netherlands
ORD-10266,2024-05-19,CUST-1779,Books,51.88,Bank Transfer,shipped,Australia
ORD-10267,2023-02-04,CUST-3116,Home & Garden,352.05,Bank Transfer,completed,Canada
ORD-10268,2023-08-10,CUST-4055,Sports,148.35,Google Pay,completed,Canada
ORD-10269,2023-09-29,CUST-4061,Sports,241.02,Apple Pay,shipped,Canada
ORD-10270,2023-12-28,CUST-4478,Sports,178.47,Bank Transfer,processing,Sweden
ORD-10271,2024-06-29,CUST-4296,Books,36.88,Google Pay,completed,Sweden
ORD-10272,2024-05-25,CUST-2419,Books,51.49,Apple Pay,cancelled,UK
ORD-10273,2024-03-08,CUST-2108,Sports,40.67,Credit Card,refunded,Sweden
ORD-10274,2023-09-03,CUST-2829,Clothing,93.48,Credit Card,completed,Sweden
ORD-10275,2024-11-25,CUST-1765,Electronics,699.64,Apple Pay,shipped,Australia
ORD-10276,2023-03-10,CUST-2443,Toys,69.27,Credit Card,refunded,Germany
ORD-10277,2023-10-05,CUST-4710,Clothing,45.12,Credit Card,processing,Netherlands
ORD-10278,2023-04-24,CUST-1854,Books,24.93,Credit Card,completed,Canada
ORD-10279,2023-04-24,CUST-4422,Books,45.9,Bank Transfer,completed,Canada
ORD-10280,2023-09-13,CUST-4455,Clothing,73.59,Debit Card,completed,Australia
ORD-10281,2024-03-14,CUST-3923,Beauty,60.86,Credit Card,completed,Germany
ORD-10282,2024-05-20,CUST-2019,Electronics,193.01,PayPal,completed,Germany
ORD-10283,2024-05-18,CUST-4747,Clothing,104.88,Google Pay,cancelled,USA
ORD-10284,2024-11-03,CUST-2568,Clothing,32.15,Apple Pay,completed,Sweden
ORD-10285,2023-09-21,CUST-4091,Home & Garden,111.74,Debit Card,completed,Australia
ORD-10286,2023-05-02,CUST-3411,Clothing,92.26,Debit Card,completed,Sweden
ORD-10287,2024-07-11,CUST-4710,Electronics,719.84,PayPal,processing,USA
ORD-10288,2023-01-22,CUST-4898,Toys,120.56,PayPal,cancelled,Netherlands
ORD-10289,2024-03-22,CUST-3746,Toys,37.11,Debit Card,cancelled,Australia
ORD-10290,2024-12-05,CUST-3714,Home & Garden,358.49,PayPal,refunded,Sweden
ORD-10291,2023-07-28,CUST-1073,Home & Garden,281.22,Bank Transfer,completed,Sweden
ORD-10292,2024-05-12,CUST-3463,Beauty,107.95,Apple Pay,completed,Sweden
ORD-10293,2024-01-28,CUST-4404,Electronics,450.52,Debit Card,processing,UK
ORD-10294,2024-10-05,CUST-2437,Home & Garden,240.66,Credit Card,completed,Netherlands
ORD-10295,2023-05-22,CUST-3924,Beauty,71.39,Debit Card,refunded,USA
ORD-10296,2024-04-15,CUST-4365,Clothing,67.5,Debit Card,completed,Australia
ORD-10297,2024-02-15,CUST-4115,Books,32.35,Debit Card,refunded,France
ORD-10298,2024-03-24,CUST-2429,Home & Garden,227.2,Bank Transfer,completed,Netherlands
ORD-10299,2024-11-11,CUST-4361,Clothing,117.97,Google Pay,cancelled,Germany
