employee_id,department,hire_date,salary,performance_score,tenure_years,attrition
1067,Finance,2022-11-03,102525,3.6,2.2,0
1068,HR,2021-11-21,74767,4.4,3.1,0
1069,Operations,2016-05-10,82726,4.5,8.6,0
1070,Finance,2018-02-11,110718,2.8,6.9,0
1071,Product,2015-10-07,131116,3.4,9.2,0
1072,Marketing,2023-12-27,80140,3.0,1.0,0
1073,Finance,2018-12-07,96726,4.4,6.1,0
1074,Operations,2016-03-05,83426,3.6,8.8,0
1075,Finance,2022-03-13,125956,3.3,2.8,0
1076,Marketing,2023-04-13,87143,2.8,1.7,0
1077,Marketing,2019-09-07,103101,4.4,5.3,0
1078,Sales,2019-04-25,105395,3.4,5.7,0
1079,Product,2019-02-12,124110,4.4,5.9,0
1080,Sales,2015-07-24,88451,3.2,9.4,0
1081,HR,2022-04-08,75929,3.3,2.7,0
1082,Product,2019-06-15,121266,3.8,5.5,0
1083,Sales,2018-03-07,75124,3.7,6.8,0
1084,Engineering,2016-03-07,150321,3.9,8.8,0
1085,Operations,2018-06-15,77948,3.9,6.5,0
1086,Marketing,2023-12-02,75158,2.8,1.1,0
1087,Operations,2015-10-22,90297,2.8,9.2,0
1088,Finance,2022-09-19,113921,3.2,2.3,0
1089,Marketing,2015-10-22,98824,2.7,9.2,0
1090,HR,2016-11-26,82963,3.6,8.1,1
1091,Finance,2016-12-11,120083,3.7,8.1,0
1092,Marketing,2020-06-19,92819,2.8,4.5,0
1093,Operations,2017-05-01,70217,4.3,7.7,0
1094,Engineering,2021-06-06,116815,3.3,3.6,0
1095,Engineering,2021-09-22,141845,3.1,3.3,0
1096,Operations,2015-01-20,87573,4.1,9.9,1
1097,Finance,2023-07-11,87373,3.2,1.5,0
1098,Sales,2020-02-18,81199,3.0,4.9,0
1099,Product,2017-03-01,128962,4.0,7.8,0
1100,Marketing,2016-11-21,93200,2.9,8.1,0
1101,Sales,2016-06-23,87106,3.7,8.5,0
1102,Finance,2020-06-11,114809,3.4,4.6,0
1103,Finance,2023-05-12,98396,3.5,1.6,0
1104,Engineering,2019-02-23,128950,2.5,5.9,0
1105,HR,2023-06-21,70576,4.2,1.5,0
1106,Engineering,2021-06-16,111738,2.8,3.5,0
1107,Product,2018-06-04,133139,3.0,6.6,0
1108,Operations,2016-07-27,74054,2.8,8.4,0
1109,Operations,2017-07-21,87589,3.5,7.4,0
1110,Product,2023-04-24,134398,2.9,1.7,1
1111,Product,2017-11-07,114614,2.7,7.1,0
1112,Marketing,2017-04-23,89251,2.7,7.7,0
1113,Marketing,2021-06-23,93455,2.9,3.5,0
1114,HR,2018-07-20,78931,2.6,6.5,0
1115,Marketing,2020-10-14,86223,3.0,4.2,0
1116,Operations,2019-05-18,81500,3.4,5.6,0
1117,Finance,2017-06-06,116219,4.3,7.6,0
1118,Operations,2019-05-08,75533,3.5,5.7,1
1119,Product,2020-06-27,106029,3.9,4.5,0
1120,Finance,2021-01-09,104314,3.1,4.0,0
1121,Engineering,2017-08-17,137507,3.5,7.4,0
1122,Product,2020-03-07,103199,3.1,4.8,0
1123,Engineering,2018-06-07,133772,3.4,6.6,0
1124,Marketing,2020-12-08,80465,3.3,4.1,0
1125,Finance,2018-02-26,117065,3.6,6.8,0
1126,HR,2019-10-22,83115,2.5,5.2,0
1127,HR,2022-06-13,76431,3.1,2.6,0
1128,Engineering,2022-08-19,123604,3.6,2.4,0
1129,Engineering,2018-10-26,143787,3.6,6.2,0
1130,HR,2016-04-09,84546,2.0,8.7,0
1131,HR,2023-12-11,65062,4.3,1.1,0
1132,Marketing,2020-03-26,108300,4.5,4.8,0
1133,HR,2017-01-11,78653,3.8,8.0,0
1134,Operations,2021-12-21,84656,3.0,3.0,0
1135,HR,2019-03-08,88570,3.7,5.8,0
1136,Product,2017-06-25,115992,2.5,7.5,0
1137,Finance,2018-01-03,95596,3.3,7.0,0
1138,Marketing,2022-01-19,65311,3.3,2.9,0
1139,HR,2021-04-20,75426,4.0,3.7,0
1140,Finance,2021-11-14,110027,3.9,3.1,0
1141,HR,2019-02-06,82500,4.0,5.9,0
1142,Marketing,2017-07-17,106699,4.7,7.5,0
1143,Engineering,2021-10-26,138290,3.5,3.2,0
1144,Finance,2020-03-19,106559,3.4,4.8,0
1145,Marketing,2020-09-07,81534,3.7,4.3,0
1146,Sales,2016-01-24,104371,3.8,8.9,0
1147,Operations,2019-01-23,80374,4.2,5.9,1
1148,Engineering,2016-10-13,139761,3.1,8.2,0
1149,Finance,2020-04-03,109225,3.3,4.7,0
1150,Engineering,2020-11-24,135618,3.1,4.1,0
